AgeCurrent,SchoolLocation,SchoolYear,SchoolYearTEXT,SchoolFinish,IdentityEthnicity,IdentityRace,IdentityReligion,IdentityDisability,IdentityNeuro,IdentitySexuality,IdentitySexualityTEXT,IdentityGender,IdentityGenderTEXT,IdentitySex,IdentitySexTEXT,HSS1Q1,HSS1Q2,HSS2Q1,HSS2Q2,HSS3Q1,HSS3Q2,HSS4Q1,HSS4Q2,HSS5Q1,HSS5Q2,HSS6Q1,HSS6Q2,HSS7Q1,HSS7Q2,HSS8Q1,HSS8Q2,HSS9Q1,HSS9Q2,HSS10Q1,HSS10Q2,HSS11Q1,HSS11Q2,HSS12Q1,HSS12Q2,HSS13Q1,HSS13Q2,HSS14Q1,HSS14Q2,RaceDemog,ReligionDemog,GenderGroup,SexualityGroup,HSS1,HSS2,HSS3,HSS4,HSS5,HSS6,HSS7,HSS8,HSS9,HSS10,HSS11,HSS12,HSS13,HSS14,SMA_RSS
20,2,2,NA,1,10,6,8,4,1,1,NA,2,NA,2,NA,2,2,1,1,3,3,1,1,1,1,4,3,1,1,3,2,5,4,4,4,5,5,5,4,4,4,5,6,6,2,2,1,4,1,9,1,1,12,1,6,20,16,25,20,16,30,11.57142857
18,2,2,NA,1,"10,12",6,8,5,2,2,NA,3,NA,2,NA,5,2,4,2,4,3,5,2,5,2,5,3,6,3,5,4,5,4,6,5,5,4,5,5,2,2,3,2,6,2,3,1,10,8,12,10,10,15,18,20,20,30,20,25,4,6,14.85714286
17,2,1,12,NA,"10,16","3,6",8,5,2,3,NA,1,NA,1,NA,4,2,1,1,5,4,3,1,1,1,6,4,4,4,2,1,6,4,6,5,6,4,2,2,6,4,6,5,9,2,1,1,8,1,20,3,1,24,16,2,24,30,24,4,24,30,15.07142857
16,3,2,NA,4,10,6,8,5,1,7,NA,"1,5",NA,2,NA,2,1,3,2,4,3,4,3,1,1,6,3,1,1,2,1,6,6,6,6,6,6,1,1,3,3,5,5,6,2,5,4,2,6,12,12,1,18,1,2,36,36,36,1,9,25,14.07142857
16,2,1,11,NA,"9,10,12,13",6,8,6,3,6,NA,2,NA,2,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,5,6,3,3,1,1,1,1,6,2,2,2,2,1,1,1,1,1,1,1,36,36,30,9,1,1,8.714285714
24,1,2,NA,3,16,6,8,5,2,6,NA,2,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,6,5,6,5,1,1,1,1,1,1,6,2,2,2,1,1,1,1,1,1,1,1,20,30,30,1,1,1,6.5
17,3,1,12,NA,11,6,8,5,1,1,NA,2,NA,2,NA,1,2,1,1,1,1,2,2,1,1,3,3,1,1,2,2,4,3,4,3,4,4,4,4,2,3,3,3,6,2,2,1,2,1,1,4,1,9,1,4,12,12,16,16,6,9,6.714285714
16,3,1,10,NA,10,6,8,6,1,3,NA,1,NA,1,NA,5,4,6,3,4,2,6,5,1,2,6,5,2,3,3,2,6,5,6,5,6,5,4,2,1,2,2,4,6,2,1,1,20,18,8,30,2,30,6,6,30,30,30,8,2,8,16.28571429
16,1,1,10,NA,10,6,4,6,3,10,NA,2,NA,2,NA,1,1,2,3,1,1,4,4,1,1,1,1,1,1,2,1,3,2,1,5,1,1,6,6,1,2,1,3,6,1,2,2,1,6,1,16,1,1,1,2,6,5,1,36,2,3,5.857142857
18,2,2,NA,"1,6",10,6,8,5,2,"6,7",NA,7,NA,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,4,5,5,4,4,2,2,4,3,5,4,6,2,NA,2,4,4,4,4,4,4,4,6,20,25,16,4,12,20,9.357142857
16,2,1,10,NA,10,6,8,5,1,"2,6",NA,5,NA,2,NA,4,2,3,1,5,3,5,4,2,1,5,2,3,2,2,2,6,4,6,3,6,3,3,2,5,5,6,5,6,2,5,2,8,3,15,20,2,10,6,4,24,18,18,6,25,30,13.5
16,2,1,11,NA,"12,16",6,2,5,2,"3,4,6,7",NA,1,NA,1,NA,2,2,2,2,2,2,2,2,2,2,4,3,1,1,5,4,3,1,4,3,4,3,2,2,4,4,6,6,6,1,1,2,4,4,4,4,4,12,1,20,3,12,12,4,16,36,9.714285714
17,1,1,12,NA,10,6,6,5,1,"6,10",NA,2,NA,2,NA,2,2,1,1,4,4,3,3,4,1,2,1,3,1,4,1,6,3,6,5,4,2,6,5,4,3,5,3,6,1,2,2,4,1,16,9,4,2,3,4,18,30,8,30,12,15,11.14285714
19,1,1,12,NA,"6,10","2,6",7,4,1,"3,4",NA,"1,6",Intersex,3,NA,4,2,5,4,4,4,1,1,3,3,6,5,2,2,4,4,6,6,5,5,5,5,2,5,1,1,3,3,9,3,NA,1,8,20,16,1,9,30,4,16,36,25,25,10,1,9,15
